topic,term,beta
1,1_hour_break,4.443759792040442e-301
2,1_hour_break,0
3,1_hour_break,1.693462589886385e-285
4,1_hour_break,5.632716672682336e-231
5,1_hour_break,0
6,1_hour_break,1.2539524515312001e-4
7,1_hour_break,7.22946735690917e-282
8,1_hour_break,0
9,1_hour_break,0
10,1_hour_break,2.0102078935048285e-280
11,1_hour_break,0
12,1_hour_break,0
13,1_hour_break,3.726524510479808e-278
14,1_hour_break,0
15,1_hour_break,5e-323
16,1_hour_break,2.5464797815268854e-229
1,1_hour_lunch,6.415787284079424e-251
2,1_hour_lunch,2.0705270459245502e-290
3,1_hour_lunch,6.595620604203033e-281
4,1_hour_lunch,2.039606750198638e-203
5,1_hour_lunch,1.4786556662811307e-253
6,1_hour_lunch,0.010219712479979281
7,1_hour_lunch,6.404125293096919e-241
8,1_hour_lunch,4.9657647118325305e-270
9,1_hour_lunch,9.256935290509878e-306
10,1_hour_lunch,1.648596132702073e-226
11,1_hour_lunch,1.1555506500830246e-261
12,1_hour_lunch,1.956241169591264e-293
13,1_hour_lunch,1.0691708356083194e-258
14,1_hour_lunch,3.119156222989993e-291
15,1_hour_lunch,1.2911045833995863e-275
16,1_hour_lunch,5.242956971031405e-212
1,1_hr_lunch,1.586099614741269e-150
2,1_hr_lunch,2.1877118771958572e-278
3,1_hr_lunch,2.7864059859094347e-205
4,1_hr_lunch,2.534391788226959e-178
5,1_hr_lunch,4.694873234697696e-229
6,1_hr_lunch,0.0013793476966843204
7,1_hr_lunch,2.3546201169057077e-203
8,1_hr_lunch,7.029139425622621e-255
9,1_hr_lunch,7.092553379597356e-220
10,1_hr_lunch,1.066606421110058e-153
11,1_hr_lunch,1.1385944357627584e-227
12,1_hr_lunch,3.0295900582536816e-259
13,1_hr_lunch,4.902642129601256e-182
14,1_hr_lunch,9.563701822454823e-217
15,1_hr_lunch,8.107492716141778e-208
16,1_hr_lunch,1.6839597650069818e-108
1,10_discount_card,4.742656301835627e-190
2,10_discount_card,1.5906489436596316e-239
3,10_discount_card,6.953310758512179e-196
4,10_discount_card,5.456173251013891e-88
5,10_discount_card,3.8159145849584764e-131
